image,response
1.png,3
10.png,4
100.png,4
101.png,4
102.png,3
103.png,4
104.png,4
105.png,3
11.png,3
12.png,3
13.png,4
14.png,4
15.png,3
16.png,4
17.png,4
18.png,4
19.png,3
2.png,4
20.png,4
21.png,3
22.png,4
23.png,3
24.png,3
25.png,4
26.png,4
27.png,3
28.png,4
29.png,3
3.png,4
30.png,4
31.png,4
32.png,4
33.png,3
34.png,4
35.png,3
36.png,3
37.png,4
38.png,4
39.png,4
4.png,4
40.png,4
41.png,3
42.png,3
43.png,4
44.png,3
45.png,4
46.png,4
47.png,4
48.png,3
49.png,3
5.png,4
50.png,4
51.png,3
53.png,4
54.png,4
55.png,4
56.png,4
57.png,4
58.png,4
59.png,4
6.png,4
60.png,4
61.png,3
62.png,4
63.png,3
64.png,3
65.png,4
66.png,4
68.png,4
69.png,4
7.png,4
70.png,4
71.png,4
72.png,3
73.png,4
74.png,4
75.png,4
76.png,4
77.png,4
78.png,2
79.png,4
8.png,4
80.png,4
81.png,3
82.png,2
83.png,3
84.png,3
85.png,3
86.png,2
87.png,3
88.png,4
89.png,4
9.png,4
90.png,3
91.png,3
92.png,2
93.png,3
94.png,4
95.png,4
96.png,4
97.png,4
98.png,4
99.png,3
52.png,3
67.png,3
