image,response
1.png,3
10.png,4
100.png,4
101.png,3
102.png,3
103.png,3
104.png,3
105.png,3
11.png,2
12.png,3
13.png,4
14.png,3
15.png,3
16.png,3
17.png,4
18.png,3
19.png,3
2.png,4
20.png,3
21.png,3
22.png,3
23.png,3
24.png,3
25.png,3
26.png,3
27.png,3
28.png,4
29.png,3
3.png,4
30.png,4
31.png,3
32.png,3
33.png,3
34.png,3
35.png,3
36.png,2
37.png,3
38.png,3
39.png,3
4.png,3
40.png,3
41.png,3
42.png,2
43.png,3
44.png,3
45.png,3
46.png,4
47.png,3
48.png,3
49.png,3
5.png,3
50.png,3
51.png,3
52.png,3
53.png,4
54.png,3
55.png,3
56.png,3
57.png,3
58.png,4
59.png,3
6.png,3
60.png,3
61.png,3
62.png,3
63.png,3
64.png,3
65.png,3
66.png,4
67.png,3
68.png,3
69.png,3
7.png,3
70.png,4
71.png,3
72.png,3
73.png,3
74.png,4
75.png,3
76.png,3
77.png,3
78.png,2
79.png,3
8.png,4
80.png,4
81.png,3
82.png,2
83.png,3
84.png,3
85.png,3
86.png,2
87.png,3
88.png,3
89.png,3
9.png,4
90.png,2
91.png,3
92.png,3
93.png,2
94.png,3
95.png,3
96.png,3
97.png,3
98.png,3
99.png,3
