image,response
1.png,3
10.png,3
100.png,4
101.png,3
103.png,3
104.png,4
105.png,3
11.png,3
12.png,3
13.png,4
14.png,3
15.png,3
16.png,3
17.png,3
18.png,3
19.png,3
2.png,4
20.png,4
21.png,3
24.png,3
25.png,3
26.png,4
27.png,3
28.png,3
29.png,3
3.png,3
30.png,4
31.png,4
32.png,3
33.png,3
34.png,3
35.png,3
36.png,3
37.png,3
38.png,3
39.png,3
4.png,4
40.png,4
41.png,3
42.png,3
43.png,4
44.png,3
45.png,4
46.png,4
47.png,4
48.png,3
49.png,3
5.png,4
50.png,3
51.png,3
52.png,4
53.png,4
54.png,3
55.png,4
56.png,3
57.png,4
58.png,4
59.png,3
6.png,3
60.png,4
61.png,3
62.png,3
63.png,3
64.png,3
65.png,4
66.png,3
67.png,3
68.png,4
69.png,4
7.png,4
70.png,4
71.png,3
72.png,3
73.png,4
74.png,3
75.png,3
76.png,4
77.png,4
78.png,3
79.png,3
8.png,4
80.png,4
81.png,3
82.png,2
83.png,3
84.png,3
85.png,3
86.png,2
87.png,4
88.png,4
89.png,4
9.png,4
90.png,3
91.png,3
92.png,3
93.png,3
94.png,3
95.png,3
96.png,3
97.png,4
98.png,3
99.png,3
102.png,3
22.png,4
23.png,4
